timestamp_us,node_id,seq_no,rssi_dbm,pdr_percent,delay_ms
373712632,3,35,-65,100.0,522.0
375261920,16,30,-65,100.0,182.0
375700920,14,31,-94,100.0,170.0
375798632,4,35,-81,100.0,
377127920,13,31,-65,100.0,631.0
378515920,6,34,-65,100.0,
378605920,8,34,-94,100.0,
379269632,5,36,-94,100.0,351.0
379462920,10,32,-65,100.0,227.0
379690920,9,33,-65,100.0,415.0
379693840,11,33,-94,100.0,
380408632,2,35,-69,100.0,
381214920,7,34,-65,100.0,95.0
381983920,15,30,-65,100.0,206.0
382899920,12,32,-65,100.0,304.0
384299632,3,36,-65,100.0,559.0
385054920,16,31,-65,100.0,193.0
385982920,14,32,-94,100.0,181.0
386701632,4,36,-81,100.0,
387338920,13,32,-65,100.0,589.0
388123920,6,35,-65,100.0,
388450920,8,35,-94,100.0,
388956920,9,34,-65,100.0,410.0
389753920,10,33,-65,100.0,234.0
389782632,5,37,-94,100.0,366.0
390359920,11,34,-94,100.0,
390485632,2,36,-69,100.0,
390558920,7,35,-65,100.0,55.0
391969920,15,31,-65,100.0,246.0
393628920,12,33,-65,100.0,309.0
393681632,3,37,-65,100.0,559.0
396048096,16,32,-65,100.0,194.0
396284096,14,33,-94,100.0,131.0
396831920,13,33,-65,100.0,574.0
397402632,4,37,-81,100.0,
397732920,8,36,-94,100.0,
398515920,6,36,-65,100.0,
398766920,9,35,-65,100.0,401.0
399617096,10,34,-65,100.0,235.0
400225920,7,36,-65,100.0,64.0
400490920,11,35,-94,100.0,
400508632,2,37,-69,100.0,
400685632,5,38,-94,100.0,368.0
401560920,15,32,-65,100.0,225.0
403107920,12,34,-65,100.0,298.0
403156632,3,38,-65,100.0,558.0
405521920,16,33,-65,100.0,228.0
405737920,14,34,-94,100.0,159.0
406205920,13,34,-65,100.0,598.0
407542808,6,37,-65,100.0,
407741920,8,37,-94,100.0,
408353632,4,38,-81,100.0,0.0
408439920,9,36,-65,100.0,400.0
408888920,10,35,-65,100.0,246.0
410230632,2,38,-69,100.0,
410438920,11,36,-94,100.0,
410541920,7,37,-65,100.0,73.0
410968632,5,39,-94,100.0,363.0
412147096,15,33,-65,100.0,217.0
413481920,12,35,-65,100.0,366.0
413620632,3,39,-65,100.0,551.0
415263920,14,35,-94,100.0,195.0
415493920,16,34,-65,100.0,194.0
417021920,13,35,-65,100.0,579.0
417174920,8,38,-94,100.0,
417418632,4,39,-81,100.0,9.0
417600920,6,38,-65,100.0,
417855920,9,37,-65,100.0,388.0
418771920,10,36,-65,100.0,215.0
419724920,7,38,-65,100.0,67.0
420203920,11,37,-94,100.0,
420668632,2,39,-69,100.0,
420904632,5,40,-94,100.0,377.0
422145920,15,34,-65,100.0,226.0
422696920,12,36,-65,100.0,351.0
424005632,3,40,-65,100.0,533.0
424631920,16,35,-65,100.0,230.0
424729920,14,36,-94,100.0,218.0
426267920,13,36,-65,100.0,594.0
427068920,9,38,-65,100.0,445.0
427359632,4,40,-81,100.0,
427929920,8,39,-94,100.0,
428101920,6,39,-65,100.0,
429208920,10,37,-65,100.0,244.0
430064920,11,38,-94,100.0,
430286920,7,39,-65,100.0,53.0
430663632,2,40,-69,100.0,
431626632,5,41,-94,100.0,346.0
432309920,15,35,-65,100.0,239.0
433285920,12,37,-65,100.0,288.0
433477632,3,41,-65,100.0,550.0
435088920,16,36,-65,100.0,196.0
435504920,14,37,-94,100.0,124.0
436141920,9,39,-65,100.0,417.0
436676920,13,37,-65,100.0,613.0
436833632,4,41,-81,100.0,3.0
438496920,10,38,-65,100.0,236.0
438685920,8,40,-94,100.0,
438844920,6,40,-65,100.0,
439400920,7,40,-65,100.0,62.0
439714632,2,41,-69,100.0,
