run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,pdr_window_mean,delay_avg_ms_mean,rssi_avg_mean,etx_mean,radio_tx_percent_mean,energy_estimated_mj_mean,energy_radio_tx_mj_mean
run_0129_cfg_043_seed_3_mrhof,3,8,16,5,40.0,16,10,MRHOF,855,99.93371929824562,173.59298245614036,-77.2,1.048187134502924,0.2987687268131084,3473.247102792983,9.357436715789472
run_0130_cfg_044_seed_1_of0,1,8,16,5,40.0,16,10,OF0,855,99.953216374269,174.27836257309943,-76.90877192982457,1.0460701754385964,0.3000866136805404,3473.2437817375444,9.398712690526317
run_0131_cfg_044_seed_2_of0,2,8,16,5,40.0,16,10,OF0,855,99.92201169590643,177.74502923976607,-77.10877192982456,1.0566315789473684,0.3027887744252892,3473.236972294737,9.483344336842103
run_0132_cfg_044_seed_3_of0,3,8,16,5,40.0,16,10,OF0,855,99.91032748538012,176.39883040935672,-76.88654970760234,1.0565380116959064,0.301127677909216,3473.241158225965,9.431319191578948
run_0142_cfg_048_seed_1_mrhof,1,8,16,5,50.0,12,5,MRHOF,627,99.98405103668262,113.87240829346092,-69.72727272727273,1.022280701754386,0.3164973532235292,3473.202426671771,9.912697079425836
run_0143_cfg_048_seed_2_mrhof,2,8,16,5,50.0,12,5,MRHOF,627,99.93620414673046,113.10047846889952,-69.54545454545455,1.0268740031897927,0.3167863803922814,3473.201698296652,9.921749741626794
run_0144_cfg_048_seed_3_mrhof,3,8,16,5,50.0,12,5,MRHOF,627,99.98226475279108,113.51674641148324,-69.72727272727273,1.024529505582137,0.3167013278736033,3473.201912650718,9.919085626794258
run_0145_cfg_049_seed_1_mrhof,1,8,16,5,50.0,12,10,MRHOF,627,99.93620414673046,109.71929824561404,-69.72727272727273,1.0137958532695377,0.1759756787268569,3473.556633596173,5.511558729186603
run_0146_cfg_049_seed_2_mrhof,2,8,16,5,50.0,12,10,MRHOF,627,99.91492822966508,109.80701754385964,-69.36363636363636,1.017224880382775,0.177302264752791,3473.5531982928237,5.553106932057416
run_0147_cfg_049_seed_3_mrhof,3,8,16,5,50.0,12,10,MRHOF,627,99.97341307814992,110.23763955342903,-69.27272727272727,1.0155821371610845,0.1761551744293422,3473.556088964593,5.517180011483253
run_0148_cfg_050_seed_1_of0,1,8,16,5,50.0,12,10,OF0,627,99.96810207336524,110.5598086124402,-68.43381180223285,1.011834130781499,0.1765581284317695,3473.55507351579,5.529800589473684
run_0149_cfg_050_seed_2_of0,2,8,16,5,50.0,12,10,OF0,627,100.0,109.20414673046253,-68.84370015948963,1.012280701754386,0.1760438679397765,3473.55636944689,5.513694017224879
run_0150_cfg_050_seed_3_of0,3,8,16,5,50.0,12,10,OF0,627,99.96810207336524,110.80382775119617,-71.03189792663477,1.0175757575757576,0.1769744382971547,3473.554024413397,5.542839433492823
run_0151_cfg_051_seed_1_mrhof,1,8,16,5,50.0,12,20,MRHOF,627,100.0,107.8389154704944,-70.27272727272727,1.0137480063795854,0.0977196810207336,3473.753746403828,3.060580409569378
run_0152_cfg_051_seed_2_mrhof,2,8,16,5,50.0,12,20,MRHOF,627,99.94682615629984,107.82456140350877,-69.36363636363636,1.01444976076555,0.0981723975638861,3473.752605557894,3.074759494736842
run_0153_cfg_051_seed_3_mrhof,3,8,16,5,50.0,12,20,MRHOF,627,100.0,107.37639553429028,-68.36363636363636,1.0149920255183411,0.098237490696438,3473.752441523445,3.07679820861244
run_0154_cfg_052_seed_1_of0,1,8,16,5,50.0,12,20,OF0,627,99.94682615629984,107.8803827751196,-70.74003189792664,1.012695374800638,0.0981409675038109,3473.7526847617223,3.07377510430622
run_0155_cfg_052_seed_2_of0,2,8,16,5,50.0,12,20,OF0,627,100.0,108.03349282296652,-70.25677830940988,1.0178947368421054,0.0983228708133971,3473.7522263655505,3.079472313875598
run_0156_cfg_052_seed_3_of0,3,8,16,5,50.0,12,20,OF0,627,100.0,108.03668261563,-68.06539074960128,1.016347687400319,0.0986720229919629,3473.7513464956937,3.0904078392344494
run_0157_cfg_053_seed_1_mrhof,1,8,16,5,50.0,16,5,MRHOF,855,99.93890058479532,159.47368421052633,-72.46666666666667,1.062,0.4650889606479059,3472.827975803509,14.566586442105262
run_0158_cfg_053_seed_2_mrhof,2,8,16,5,50.0,16,5,MRHOF,855,99.9298245614035,158.446783625731,-70.71461988304094,1.065251461988304,0.4681494282417152,3472.820263444211,14.662440050526314
run_0159_cfg_053_seed_3_mrhof,3,8,16,5,50.0,16,5,MRHOF,855,99.92023391812866,158.55789473684212,-72.0,1.0602339181286549,0.4651681822956448,3472.82777620772,14.569067132631575
run_0160_cfg_054_seed_1_of0,1,8,16,5,50.0,16,5,OF0,855,99.8490058479532,159.4608187134503,-71.90643274853801,1.0656491228070175,0.4726457815714139,3472.808932659649,14.803265515789471
