run_name,config_id,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,status,rows_added,error
run_0144_cfg_015_seed_4_of0,15,4,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0145_cfg_015_seed_5_of0,15,5,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0146_cfg_015_seed_6_of0,15,6,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0147_cfg_015_seed_7_of0,15,7,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0148_cfg_015_seed_8_of0,15,8,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0149_cfg_015_seed_9_of0,15,9,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0150_cfg_015_seed_10_of0,15,10,8,16,0,40.0,20,20,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0151_cfg_016_seed_1_mrhof,16,1,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0152_cfg_016_seed_2_mrhof,16,2,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0153_cfg_016_seed_3_mrhof,16,3,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0154_cfg_016_seed_4_mrhof,16,4,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0155_cfg_016_seed_5_mrhof,16,5,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0156_cfg_016_seed_6_mrhof,16,6,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
run_0157_cfg_016_seed_7_mrhof,16,7,8,16,0,50.0,12,5,MRHOF,SUCCESS,627,
